author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,57.7,-1,0,75000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
ID 57724669,homeowner,https://www.cian.ru/sale/flat/315916888/,Москва,sale,flat,4,10,1,32.9,-1,0,8800000,Гольяново,Уральская ,6К1,Щёлковская,
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316213381/,Москва,sale,flat,14,41,1,48.0,-1,0,29900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/316330143/,Москва,sale,flat,8,14,1,36.8,-1,0,11500000,Текстильщики, 8-я Текстильщиков,12,Текстильщики,
Простор-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316267999/,Москва,sale,flat,9,12,1,34.9,-1,0,13900000,Басманный,Плетешковский переулок,18-20к2,Бауманская,
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/314012146/,Москва,sale,flat,4,11,1,47.0,-1,0,16400000,Нижегородский,Нижегородская ,74,Калитники,"Нижегородская, 74"
СТРОЙИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/290829248/,Москва,sale,flat,17,25,1,36.3,-1,0,10496388,Некрасовка, Липчанского,10,Некрасовка,Некрасовка
ID 93838377,homeowner,https://www.cian.ru/sale/flat/315977664/,Москва,sale,flat,2,9,1,32.5,-1,0,10600000,Перово,1-я Владимирская ,18К5,Перово,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253214/,Москва,sale,flat,24,79,1,72.0,-1,0,70000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Лаура Рамазанова,realtor,https://www.cian.ru/sale/flat/316249690/,Москва,sale,flat,4,5,1,36.0,-1,0,15700000,Кунцево,Полоцкая ,23,Молодёжная,
Олег Демидов,realtor,https://www.cian.ru/sale/flat/311849933/,Москва,sale,flat,6,7,1,36.0,-1,0,7500000,Южное Бутово, Адмирала Руднева,20,Бунинская аллея,
Ирина Берёзкина,realtor,https://www.cian.ru/sale/flat/315289988/,Москва,sale,flat,5,5,1,30.1,-1,0,10300000,Перово, Плющева,16,Перово,
ID 10345338,realtor,https://www.cian.ru/sale/flat/314794936/,Москва,sale,flat,8,15,1,35.0,-1,0,11900000,Коньково,Профсоюзная ,69,Беляево,Дом на Профсоюзной 69
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/316325732/,Москва,sale,flat,3,19,1,36.5,-1,0,8100000,Некрасовка,Рождественская ,21к2,Некрасовка,
Владимир Бондаренко,realtor,https://www.cian.ru/sale/flat/314969166/,Москва,sale,flat,5,12,1,36.0,-1,0,16300000,Басманный,Волховский переулок,2,Бауманская,
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004944/,Москва,sale,flat,2,10,1,60.5,-1,0,16013800,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/313479548/,Москва,sale,flat,12,25,1,53.0,-1,0,23600000,Даниловский, Трофимова,10,Автозаводская,
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,9200000,Измайлово,Измайловский проезд,6К2,Измайловская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/311419733/,Москва,sale,flat,5,12,1,34.1,-1,0,19000000,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316289540/,Москва,sale,flat,2,33,1,50.0,-1,0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/314469865/,Москва,sale,flat,19,41,1,43.0,-1,0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/315042925/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/316110485/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Юлия Борисенко,realtor,https://www.cian.ru/sale/flat/316357963/,Москва,sale,flat,5,5,1,32.1,-1,0,12600000,Нагорный,Черноморский бульвар,5К4,Чертановская,
Александр Тарасов,realtor,https://www.cian.ru/sale/flat/313434541/,Москва,sale,flat,1,3,1,43.0,-1,0,9785000,, Облепиховая,29,Ольховая,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253213/,Москва,sale,flat,30,79,1,78.0,-1,0,92880000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/316182587/,Москва,sale,flat,3,17,1,36.6,-1,0,12600000,Нагорный,Балаклавский проспект,4К8,Чертановская,
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/314672030/,Москва,sale,flat,14,16,1,40.0,-1,0,12700000,Марьино,Новомарьинская ,16К1,Братиславская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/312482924/,Москва,sale,flat,22,22,1,15.5,-1,0,12500000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
RND,real_estate_agent,https://www.cian.ru/sale/flat/313345962/,Москва,sale,flat,4,56,1,50.8,-1,0,22500000,Раменки,проспект Генерала Дорохова,вл1к3,Аминьевская,Will Towers
ID 92218072,realtor,https://www.cian.ru/sale/flat/315746620/,Москва,sale,flat,9,12,1,38.9,-1,0,14200000,Нагатинский затон,Коломенская ,9,Нагатинский Затон,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315557965/,Москва,sale,flat,6,24,1,47.0,-1,0,27400000,Тропарево-Никулино,проспект Вернадского,80,Юго-Западная,Клубный дом Full House
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306867070/,Москва,sale,flat,16,36,1,41.1,-1,0,33000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/315778606/,Москва,sale,flat,11,28,1,32.0,-1,0,18700000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,8800000,Люблино, Верхние Поля,27С2,Братиславская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/315216755/,Москва,sale,flat,7,9,1,34.8,-1,0,15100000,Котловка, Дмитрия Ульянова,43К1,Академическая,
ID 106375908,homeowner,https://www.cian.ru/sale/flat/315310959/,Москва,sale,flat,2,10,1,37.9,-1,0,21590000,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/314018129/,Москва,sale,flat,11,25,1,22.54,-1,0,6500000,Тропарево-Никулино,Востряковское шоссе,7с6,Озёрная,МФК-Ситимикс
ID 107427548,realtor,https://www.cian.ru/sale/flat/315644848/,Москва,sale,flat,4,17,1,39.0,-1,0,14900000,Чертаново Северное,Чертановская ,1ВК1,Чертановская,
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/304779000/,Москва,sale,flat,9,31,1,45.3,-1,0,23900000,Филевский парк,Береговой проезд,5к1,Фили,Фили Град
