author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
СТРОЙИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/290829248/,Москва,sale,flat,17,25,1,36.3,-1,0,10496388,Некрасовка, Липчанского,10,Некрасовка,Некрасовка
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253214/,Москва,sale,flat,24,79,1,72.0,-1,0,70000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Лаура Рамазанова,realtor,https://www.cian.ru/sale/flat/316249690/,Москва,sale,flat,4,5,1,36.0,-1,0,15700000,Кунцево,Полоцкая ,23,Молодёжная,
Ирина Берёзкина,realtor,https://www.cian.ru/sale/flat/315289988/,Москва,sale,flat,5,5,1,30.1,-1,0,10300000,Перово, Плющева,16,Перово,
ID 10345338,realtor,https://www.cian.ru/sale/flat/314794936/,Москва,sale,flat,8,15,1,35.0,-1,0,11900000,Коньково,Профсоюзная ,69,Беляево,Дом на Профсоюзной 69
Владимир Бондаренко,realtor,https://www.cian.ru/sale/flat/314969166/,Москва,sale,flat,5,12,1,36.0,-1,0,16300000,Басманный,Волховский переулок,2,Бауманская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/316209994/,Москва,sale,flat,2,14,1,46.1,-1,0,17900000,Солнцево,Боровское шоссе,2к7,Говорово,Мещерский лес
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/315185186/,Москва,sale,flat,2,16,1,35.0,-1,0,12500000,Головинский,Кронштадтский бульвар,28,Коптево,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316272629/,Москва,sale,flat,1,8,1,37.5,-1,0,12450000,Тимирязевский,3-й Нижнелихоборский проезд,4А,Окружная,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/314699560/,Москва,sale,flat,23,23,1,35.9,-1,0,18850000,Лефортово,Красноказарменная ,14Ак2,Авиамоторная,Пётр I
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/315990604/,Москва,sale,flat,1,10,1,44.7,-1,0,12459200,Кунцево,5-я Мякининская ,20,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005024/,Москва,sale,flat,7,10,1,47.6,-1,0,13161400,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004931/,Москва,sale,flat,2,10,1,55.6,-1,0,14950900,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005005/,Москва,sale,flat,9,10,1,47.9,-1,0,13220300,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313005073/,Москва,sale,flat,8,10,1,60.5,-1,0,16018100,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Светлана Биличенко,realtor,https://www.cian.ru/sale/flat/314430900/,Москва,sale,flat,11,12,1,35.0,-1,0,8200000,Вешняки,Вешняковская ,11К1,Новогиреево,
Совкомбанк,official_representative,https://www.cian.ru/sale/flat/303370489/,Москва,sale,flat,3,3,1,44.9,-1,0,5800000,, Южная,12,Крёкшино,
ID 116725896,homeowner,https://www.cian.ru/sale/flat/315404296/,Москва,sale,flat,5,12,1,34.8,-1,0,16300000,Таганский,Большая Андроньевская ,20,Марксистская,
Московский Квартал,real_estate_agent,https://www.cian.ru/sale/flat/316343576/,Москва,sale,flat,14,14,1,38.9,-1,0,9499990,Кузьминки,Юго-Восточный ао,к8,Волжская,
Beri,real_estate_agent,https://www.cian.ru/sale/flat/314622571/,Москва,sale,flat,6,9,1,34.9,-1,0,13400000,Северное Тушино, Вилиса Лациса,7К1,Планерная,
Сбербанк,real_estate_agent,https://www.cian.ru/sale/flat/313004944/,Москва,sale,flat,2,10,1,60.5,-1,0,16013800,Кунцево,4-я Мякининская ,27,Строгино,Клубный дом Рублево
Навигатор,real_estate_agent,https://www.cian.ru/sale/flat/313479548/,Москва,sale,flat,12,25,1,53.0,-1,0,23600000,Даниловский, Трофимова,10,Автозаводская,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/314018129/,Москва,sale,flat,11,25,1,22.54,-1,0,6500000,Тропарево-Никулино,Востряковское шоссе,7с6,Озёрная,МФК-Ситимикс
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,9200000,Измайлово,Измайловский проезд,6К2,Измайловская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/311419733/,Москва,sale,flat,5,12,1,34.1,-1,0,19000000,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,8800000,Люблино, Верхние Поля,27С2,Братиславская,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316289540/,Москва,sale,flat,2,33,1,50.0,-1,0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/314469865/,Москва,sale,flat,19,41,1,43.0,-1,0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Мария Линкевич,realtor,https://www.cian.ru/sale/flat/316343661/,Москва,sale,flat,7,14,1,34.7,-1,0,9200000,Ярославский,Ярославское шоссе,4К2,Свиблово,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/315042925/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/316110485/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/315478186/,Москва,sale,flat,4,5,1,30.9,-1,0,12990000,Тверской,1-й Самотечный переулок,20/1к2,Достоевская,
Юлия Борисенко,realtor,https://www.cian.ru/sale/flat/316357963/,Москва,sale,flat,5,5,1,32.1,-1,0,12600000,Нагорный,Черноморский бульвар,5К4,Чертановская,
Александр Тарасов,realtor,https://www.cian.ru/sale/flat/313434541/,Москва,sale,flat,1,3,1,43.0,-1,0,9785000,, Облепиховая,29,Ольховая,
